checkingstatus1,duration,history,purpose,amount,savings,employ,installment,sex,residence,age,housing,cards,liable,tele,foreign
0,12,0,1,339,0,2,4,1,1,45,1,1,1,0,0
1,6,0,1,433,2,0,4,0,2,24,2,1,2,0,0
0,48,2,4,6143,0,2,4,0,4,58,0,2,1,0,0
2,6,1,2,683,0,0,2,0,1,29,1,1,1,0,0
1,48,1,2,3060,0,1,4,1,4,28,1,2,1,0,0
1,48,0,0,14421,0,1,2,1,2,25,1,1,1,1,0
0,30,1,2,2406,0,1,4,0,4,23,2,1,1,0,0
1,36,1,1,2273,0,1,3,1,1,32,1,2,2,0,0
0,21,1,2,3357,2,0,4,0,2,29,1,1,1,0,0
1,10,1,3,7308,0,3,2,1,4,70,0,1,1,1,0
0,6,2,2,1957,0,1,1,0,4,31,1,1,1,0,0
0,24,1,2,3021,0,1,2,1,2,24,2,1,1,0,0
1,60,1,2,9157,0,1,2,1,2,27,0,1,1,0,0
0,12,1,2,708,0,1,2,1,3,38,1,1,2,0,0
1,36,1,2,2323,0,1,4,1,4,24,2,1,1,0,0
0,24,1,3,4870,0,1,3,1,4,53,0,2,2,0,0
0,30,1,2,2522,0,2,1,1,3,39,1,1,2,0,0
1,60,0,0,14782,1,2,3,0,4,60,0,2,1,1,0
0,24,1,2,2384,0,2,4,1,4,64,2,1,1,0,0
1,15,1,2,2631,1,1,3,0,2,25,1,1,1,0,0
0,36,1,3,1842,0,0,4,0,4,34,1,1,1,1,0
0,24,1,3,1285,0,1,4,0,4,32,2,1,1,0,0
0,48,1,4,4788,0,1,4,1,3,26,1,1,2,0,0
0,21,0,3,1647,0,1,4,1,2,40,1,2,2,0,0
0,42,1,2,7174,0,1,4,0,3,30,1,1,1,1,0
0,47,1,3,10722,0,0,1,0,1,35,1,1,1,1,0
0,48,0,0,7685,0,1,2,0,4,37,2,1,1,0,0
1,36,0,0,1953,0,2,4,1,4,61,0,1,1,1,0
0,12,1,2,1282,0,1,2,0,4,20,2,1,1,0,0
3,36,1,2,2394,0,1,4,0,4,25,1,1,1,0,0
1,36,1,3,7432,0,1,2,0,2,54,2,1,1,0,0
0,48,1,0,4308,0,0,3,0,4,24,2,1,1,0,0
0,18,0,2,1553,0,1,4,1,3,44,1,1,1,0,0
0,24,1,2,3149,0,0,4,1,1,22,0,1,1,0,0
2,18,1,3,1961,0,2,3,0,2,23,1,1,1,0,0
1,12,1,3,1295,0,0,3,0,1,25,2,1,1,0,0
0,24,0,3,2325,1,1,2,1,3,32,1,1,1,0,0
0,18,1,3,976,0,0,1,0,2,23,1,1,1,0,0
1,45,1,2,3031,1,1,4,1,4,21,2,1,1,0,0
1,24,1,2,2333,0,0,4,1,2,29,1,1,1,0,0
1,48,1,3,8487,0,1,1,0,2,24,1,1,1,0,0
0,18,1,1,8471,0,1,1,0,2,23,2,2,1,1,0
1,36,2,3,2820,0,0,4,1,4,27,1,2,1,0,0
1,24,1,4,11560,0,1,1,0,4,23,2,2,1,0,0
3,9,1,2,2301,1,0,2,0,4,22,2,1,1,0,0
0,30,1,2,11998,0,0,1,1,1,34,1,1,1,1,0
0,27,0,0,5293,0,3,2,1,4,50,1,2,1,1,0
0,36,2,4,9629,0,1,4,1,4,24,1,2,1,1,0
1,24,0,1,1837,0,1,4,0,4,34,0,1,1,0,0
0,36,1,3,9271,0,1,2,1,1,24,1,1,1,1,0
1,18,1,2,866,0,1,4,1,2,25,1,1,1,0,0
0,18,0,2,3114,0,0,1,0,4,26,2,1,1,0,0
1,9,0,4,5129,0,2,2,0,4,74,0,1,2,1,0
